"Number","Name","AssetId","TechnologyId","Category","TypeA","TypeB","Rank","Rarity","Price","Weight","StackSize","Description","ImageUrl","LocalIcon","PaldeckUrl","CommandGive","CommandGiveMe"
,"Air Dash Boots","Accessory_AirDash1","Accessory_AirDash1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","54120","2","1","An accessory that allows the player to dash in mid-air when equipped.",,,"https://paldeck.cc/items/Accessory_AirDash1","!give Accessory_AirDash1:9999","!giveme Accessory_AirDash1:9999"
,"Double Air Dash Boots","Accessory_AirDash2","Accessory_AirDash2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","153120","2","1","An accessory that allows the player to perform double dashes in mid-air when equipped.",,,"https://paldeck.cc/items/Accessory_AirDash2","!give Accessory_AirDash2:9999","!giveme Accessory_AirDash2:9999"
,"Triple Air Dash Boots","Accessory_AirDash3","Accessory_AirDash3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","4","306600","2","1","An accessory that allows the player to perform triple dashes in mid-air when equipped.",,,"https://paldeck.cc/items/Accessory_AirDash3","!give Accessory_AirDash3:9999","!giveme Accessory_AirDash3:9999"
,"Quadruple Air Dash Boots","Accessory_AirDash4","Accessory_AirDash4","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","4","1","2","1","An accessory that allows the player to perform quadruple dashes in mid-air when equipped.",,,"https://paldeck.cc/items/Accessory_AirDash4","!give Accessory_AirDash4:9999","!giveme Accessory_AirDash4:9999"
,"Ring of Water Resistance","Accessory_AquaResist_1","Accessory_AquaResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","23880","2","1","An accessory that reduces incoming Water damage.",,,"https://paldeck.cc/items/Accessory_AquaResist_1","!give Accessory_AquaResist_1:9999","!giveme Accessory_AquaResist_1:9999"
,"Ring of Water Resistance +1","Accessory_AquaResist_2","Accessory_AquaResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Water damage.",,,"https://paldeck.cc/items/Accessory_AquaResist_2","!give Accessory_AquaResist_2:9999","!giveme Accessory_AquaResist_2:9999"
,"Ring of Water Resistance +2","Accessory_AquaResist_3","Accessory_AquaResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Water damage.",,,"https://paldeck.cc/items/Accessory_AquaResist_3","!give Accessory_AquaResist_3:9999","!giveme Accessory_AquaResist_3:9999"
,"Attack Pendant","Accessory_AT_1","Accessory_AT_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","16500","2","1","An accessory that raises Attack.",,,"https://paldeck.cc/items/Accessory_AT_1","!give Accessory_AT_1:9999","!giveme Accessory_AT_1:9999"
,"Attack Pendant +1","Accessory_AT_2","Accessory_AT_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Attack.",,,"https://paldeck.cc/items/Accessory_AT_2","!give Accessory_AT_2:9999","!giveme Accessory_AT_2:9999"
,"Attack Pendant +2","Accessory_AT_3","Accessory_AT_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Attack.",,,"https://paldeck.cc/items/Accessory_AT_3","!give Accessory_AT_3:9999","!giveme Accessory_AT_3:9999"
,"Phantom Ring","Accessory_Avoid_1","Accessory_Avoid_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","121860","2","1","An accessory that extends the invincibility period of rolls and sidesteps.",,,"https://paldeck.cc/items/Accessory_Avoid_1","!give Accessory_Avoid_1:9999","!giveme Accessory_Avoid_1:9999"
,"Wumpo Charm","Accessory_ColdIce_1","Accessory_ColdIce_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","158040","2","1","An accessory with incredible resistance to cold. Greatly reduces incoming Ice damage.",,,"https://paldeck.cc/items/Accessory_ColdIce_1","!give Accessory_ColdIce_1:9999","!giveme Accessory_ColdIce_1:9999"
,"Thermal Undershirt","Accessory_CoolResist_1","Accessory_CoolResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","21960","2","1","An accessory that raises Cold Resistance.",,,"https://paldeck.cc/items/Accessory_CoolResist_1","!give Accessory_CoolResist_1:9999","!giveme Accessory_CoolResist_1:9999"
,"Thermal Undershirt +1","Accessory_CoolResist_2","Accessory_CoolResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Cold Resistance.",,,"https://paldeck.cc/items/Accessory_CoolResist_2","!give Accessory_CoolResist_2:9999","!giveme Accessory_CoolResist_2:9999"
